728,MANPREET AGRO INDUSTIRES NABHA,0,0,0,0,0,1,0,0,0,0,0,0,1
729,MANPREET AGRO INDUSTRIES,3,0,0,0,0,2,0,0,0,0,0,1,6
730,MARATHWADA QUALITY TRAILER,3,4,0,2,2,3,2,0,3,3,5,4,31
731,MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,1,0,1,2,0,0,0,0,0,0,0,4
732,MARKUS,0,1,2,2,0,1,2,5,3,5,3,3,27
733,MARSHAL TRACTOR & FARM EQUIPMENTS,0,0,0,1,0,0,0,0,0,0,0,0,1
734,MARTHWADA TRALIOR,3,5,0,12,3,2,1,0,0,1,2,4,33
735,MARUTHISAN PVT LTD,14,7,22,9,8,7,23,10,9,16,11,11,147
736,MARUTI INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1,1
737,MARUTI SUZUKI INDIA LTD,"1,55,801","1,23,670","1,42,785","1,14,553","1,23,642","1,26,269","1,22,479","1,38,926","1,44,803","1,51,727","1,56,829","1,23,113","16,24,597"
738,MARUTI UDYOG LTD,19,36,25,19,36,24,20,21,23,28,29,30,310
739,MASERATI S.P.A,1,1,3,2,0,3,2,1,2,1,3,0,19
740,MASSEY FERGUSON LTD,0,0,0,0,0,5,0,0,0,0,0,0,5
741,MATHAROO BROTHERS AGRO TECH PVT LTD,2,0,0,1,0,6,0,0,0,0,0,0,9
742,MATHARU ENGINEERING AGRI WORKS,2,1,4,3,5,18,0,0,6,3,0,3,45
743,MATHARU ENGINEERING WORKS,2,5,4,0,2,3,0,1,1,3,0,2,23
744,MAULIRAJ INDUSTRIES LLP,0,0,0,0,0,1,0,1,0,0,0,1,3
745,"MAYUR ENTERPRISES,BARIPADA",2,7,3,0,3,5,4,6,6,4,3,5,48
746,MB AGRO INDUSTRIES,0,0,2,1,0,7,0,0,0,0,0,0,10
747,MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),1,1,1,0,1,3,0,1,0,0,1,0,9
748,MECPOWER MOBILITY PVT. LTD.,1,0,0,0,78,0,0,0,1,1,43,4,128
749,MEERA AUTO IND,0,0,0,0,1,0,0,0,0,0,0,0,1
750,MEGH RAJ GOYAL & COMPANY,0,0,0,0,0,0,0,0,0,0,0,1,1
751,MEHER FABRIC WORKS,0,0,0,0,0,1,1,0,0,0,0,0,2
752,MEHER TRAILERS PVT LTD,2,2,0,0,0,0,0,0,1,2,0,0,7
753,MERCEDES -BENZ AG,63,90,95,54,95,88,125,88,107,105,140,148,"1,198"
754,MERCEDES-BENZ INDIA PVT LTD,"1,261","1,070","1,660","1,183","1,116",981,956,"1,015","1,334","1,266","1,233","1,229","14,304"
755,MEW ELECTRICALS LIMITED,43,24,35,16,31,15,12,4,7,7,0,2,196
756,M G INDUSTRIES,5,3,10,17,15,14,18,21,13,11,10,8,145
757,M H AGRICULTURE WORKS,0,0,5,0,2,13,0,0,1,2,0,3,26
758,MIC INDUSTRIES INC,2,0,0,0,0,0,0,0,0,0,0,0,2
759,MICROAUTOTECH PVT. LTD.,0,0,1,0,1,0,0,0,0,0,0,0,2
760,MILLENNIAL MOTORS LLP,0,0,0,0,0,0,0,7,0,0,0,0,7
761,MINI METRO,56,21,21,0,0,2,0,0,0,0,0,0,100
762,MINI METRO EV L.L.P,"1,117",942,"1,266","1,037","1,203","1,504","1,568","1,701","1,394","1,356","1,342","1,531","15,961"
763,MINSK TRACTOR (IMPORTER: ERISHA AGRITECH),0,0,0,0,0,9,0,0,0,0,0,0,9
764,MIRAKLE 5 AUTOMOBILES PVT LTD,5,10,12,12,12,5,12,8,5,13,3,5,102
765,MITSUBISHI MOTORS CORPORATION,0,0,0,1,0,0,0,0,1,0,0,0,2
766,M K BROTHERS,0,0,1,0,0,0,0,0,0,0,1,1,3
767,M.K. ENTERPRISES,28,81,68,53,67,72,100,128,108,163,105,123,"1,096"
768,MLR AUTO LTD,162,179,227,81,117,91,103,132,155,193,240,223,"1,903"
769,MODERN  AGRO  INDUSTRIES,0,1,2,0,0,0,0,0,0,0,0,0,3
