1548,VAISHNAVI INDUSTRIES,0,0,0,0,0,6,13,2,21
1549,VALAMPURI & COMPANY,0,0,0,1,0,0,0,0,1
1550,VALDO TRACTORS PVT LTD,0,0,0,1,1,1,0,0,3
1551,VANDANA TRAILERS AND BODY MFG PVT LTD,3,0,1,0,0,0,0,0,4
1552,VANI ELECTRIC VEHICLES PVT LTD,481,430,390,480,458,438,506,234,"3,417"
1553,VARUN INDUSTRIES,0,0,0,0,0,0,1,0,1
1554,VASANT FABRICATORS PVT LTD,1,0,0,0,0,0,0,0,1
1555,VASHAN AGRICULTURE WORKS,0,0,3,2,1,0,2,1,9
1556,VE COMMERCIAL VEHICLES LTD,"7,357","6,359","6,880","7,675","6,844","6,959","7,257","4,232","53,563"
1557,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),48,50,51,65,62,33,81,39,429
1558,VEECTERO E VEHICLES LLP,5,1,5,6,4,7,3,0,31
1559,VEERA VAHANA UDYOG PRIVATE LIMITED,0,1,2,1,0,0,0,0,4
1560,VEERA VIDYUTH VAHANA PVT LTD,25,3,7,2,0,0,0,0,37
1561,VEERBHADRA ENGINEERING WORKS,3,3,2,3,0,0,1,1,13
1562,VEHICLE FACTORY JABALPUR,0,0,0,0,0,0,12,30,42
1563,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),10,11,14,13,24,11,10,10,103
1564,VENKATESHWARA ENGINEERING WORK,2,8,8,4,2,0,0,0,24
1565,VENKATESHWAR AGRO INDUSTRIES,0,0,0,0,0,1,0,0,1
1566,VENUS AUTO WHEELS PVT LTD,44,44,52,46,51,28,51,28,344
1567,VENUS EQUIPMENT,11,22,14,13,17,12,3,0,92
1568,VENUS TECHNO EQUIPMENT PVT LTD,0,0,0,0,0,0,3,1,4
1569,VERT EQUIPMENT PVT LTD,6,1,5,1,0,1,2,0,16
1570,VICTORY ELECTRIC INTERNATIONAL,172,152,159,198,127,129,157,85,"1,179"
1571,VIDARBHA TRAILERS,0,0,1,2,0,2,0,0,5
1572,VIJAYA ELECTRIC AUTO PVT LTD,9,5,13,4,2,9,17,6,65
1573,VIJAYALAKSHIMI ENGG WORKS,0,1,0,1,0,0,0,0,2
1574,VIJAYA LAKSHMI INDUSTRY BARGARH RAILWAY STATION,0,0,0,0,1,0,1,1,3
1575,VIJAY ENGINEERING WORKS,0,1,0,2,0,0,0,0,3
1576,VIJAYLAXMI AUTO GARAGE MALKANGIRI KUMUTIGUDA,0,0,0,0,3,0,0,0,3
1577,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,405,403,486,583,489,410,392,168,"3,336"
1578,VIJAYSHREE AUTOCOM LIMITED,3,2,9,6,3,6,1,0,30
1579,VIJAY TROLLY WORKS,0,3,0,0,0,1,0,0,4
1580,VIJEX STEEL FABRICATION,27,28,14,28,19,12,19,6,153
1581,VIKAS ENGG WORKS,0,0,0,0,0,0,0,1,1
1582,VIKASH TRAILERS,0,0,0,0,0,0,2,0,2
1583,VIKRANT ENGINEERING,15,2,1,1,1,0,0,0,20
1584,VIKRANT ENGINEERS TRAILOR CUTTACK KHAPURIA,3,4,5,5,2,2,6,0,27
1585,VIMAL UNIVERSAL TRADE PVT LTD,144,156,146,163,193,132,122,64,"1,120"
1586,VINA ENGINEERING WORKS,1,1,3,1,0,0,0,0,6
1587,VINCI INDUSTRIAL CORPORATION,5,3,0,4,0,5,5,1,23
1588,VINTAGE VEHICLES,3,1,0,4,4,3,4,3,22
1589,VIRAT MOTOCORP,0,0,0,2,7,0,1,1,11
1590,VISAKHA AUTO GRAGE AP203572501,0,0,0,0,0,0,2,3,5
1591,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,1,0,1
1592,VISHAL AGRICULTURAL WORKS,0,2,3,3,2,8,7,2,27
1593,VISHAL ENTERPRISES,46,78,76,64,20,23,25,10,342
1594,VISHAVKARMA ENGINEERING WORKS,116,128,126,38,6,8,18,14,454
1595,VISHVAS TRACTORS LTD.,0,0,0,0,0,0,0,1,1
1596,VISHWAKARMA AGRICULTURE UDHYOG,0,7,0,1,0,0,0,0,8
1597,VISHWAKARMA GNG INDUSTRY,5,8,7,30,44,32,19,10,155
1598,VISHWARUP ENTERPRISE,0,0,1,0,0,0,0,0,1
1599,VISHWAS AGRO IND.,0,0,0,1,0,0,0,0,1
1600,VISHWA SANJAY TRAILOR,0,0,2,0,0,0,2,0,4
1601,VISHWAS AUTOMOBILES LLP,4,0,2,2,1,4,2,2,17
1602,VISWAKARMA AGRO INDUSTRIES,1,1,2,3,2,1,2,1,13
1603,"VISWANATH INDUSTRIES,BBSR",0,2,0,0,0,0,0,0,2
1604,VISWANATH INDUSTRIES BBSR LAXMISAGAR,4,3,6,4,2,2,1,1,23
1605,VIVEK ENGG. WORKS,0,1,4,5,20,18,21,12,81
1606,VIVEK MOTORS,2,2,2,13,8,1,2,2,32
1607,VMP CONCRETE EQUIPMENTS PVT LTD,0,0,1,1,2,2,0,0,6
1608,VMT INDUSTRIES,17,21,31,17,11,20,16,12,145
1609,VMT INDUSTRIES PVT LTD,12,1,0,1,2,0,0,0,16
1610,VOLKSWAGEN AG,0,0,21,0,13,39,42,34,149
1611,VOLKSWAGEN INDIA PVT LTD,0,2,2,1,1,0,1,0,7
1612,VOLTAS LIMITED,1,0,0,0,0,0,0,0,1
