1,3EV INDUSTRIES PVT LTD,1,16,2,32,0,0,31,30,4,25,0,1,142
2,3GB TECHNOLOGY PVT LTD,1,1,1,0,0,0,3,0,0,0,1,0,7
3,3S INDUSTRIES PRIVATE LIMITED,4,17,8,5,1,0,4,8,2,3,12,3,67
4,A1 HEAVY EQUIPMENTS DEVELOPER,0,1,5,0,0,0,0,0,0,0,1,0,7
5,A3T INCORPORTED,2,2,1,2,3,3,1,1,1,0,1,1,18
6,AADHYA ENTERPRISES,1,2,4,0,0,0,0,1,0,0,1,0,9
7,AADITYA EMOTORS INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0,1
8,AAHANA COMMERCE PVT LTD,20,23,30,19,6,2,15,39,31,1,5,11,202
9,AARGEE ELECTRIC,0,0,0,0,0,0,0,2,0,1,5,2,10
10,AARYA AUTOMOBILES,0,1,0,1,0,0,0,0,0,0,1,0,3
11,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1
12,A B EXCAVATORS & EARTHMOVER LTD,1,0,0,0,0,0,0,0,0,0,0,0,1
13,ACCRETION POWER AUTOS,9,26,6,2,0,17,19,17,43,22,11,36,208
14,ACTION CONSTRUCTION EQUIPMENT LTD.,707,695,913,491,210,483,594,579,633,485,494,613,"6,897"
15,A D AGRO WORKS,6,5,11,7,7,7,7,9,9,5,4,10,87
16,ADAPT MOTORS PVT LTD,0,0,0,0,0,0,0,1,1,0,0,0,2
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,126,136,129,122,89,197,836,468,122,131,111,123,"2,590"
18,ADIDEV TECHNOA PVT LTD,5,0,10,1,1,0,1,2,4,2,4,4,34
19,ADISHAKTI TRACTORS,1,9,1,1,15,37,37,27,8,11,27,12,186
20,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,0,0,0,0,1,0,0,0,0,0,1
21,ADISHWAR AUTO RIDE INDIA PVT LTD,158,162,186,144,41,59,162,178,181,183,260,155,"1,869"
22,ADITYA AGRO INDUSTRIES,2,4,19,8,2,3,2,5,3,5,1,7,61
23,ADITYA ENTERPRISES,0,2,1,0,0,1,0,0,0,1,0,0,5
24,ADITYA SAI INDUSTRIES,10,9,10,0,0,0,6,2,2,4,0,10,53
25,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,4,15,9,11,9,17,65
26,AFTEK MOTORS INDIA PVT LTD,1,1,1,0,1,2,1,0,0,1,0,0,8
27,"AFZAL ENGG WORKS,JUNAGARH",98,65,250,5,11,5,1,44,0,1,2,5,487
28,"AGNEE IRON WORKS,BARIPADA",0,0,2,0,0,1,0,0,0,0,0,0,3
29,AGP ENGINEERING PRODUCTS,0,3,0,0,0,0,0,0,0,1,1,2,7
30,AGRASEN ENGINEERING WORKS,0,5,2,0,2,2,0,1,0,2,0,0,14
31,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,1
32,AGRI KING,0,1,0,0,0,0,0,0,0,0,0,0,1
33,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,3,3,2,1,1,5,12,4,6,9,3,0,49
34,AGRO INDUSTRIES,53,212,146,33,7,62,86,119,57,35,22,34,866
35,AHITESHAM AGRO ENGINEERING,1,2,0,1,0,0,0,0,0,0,0,0,4
36,AHMED MOTORS,3,0,4,2,1,1,1,5,7,0,0,0,24
37,AJANTA KRUSHI YANTRA,20,9,4,0,1,1,23,3,1,24,0,1,87
38,AJAX ENGINEERING LTD,202,239,266,156,53,129,185,162,249,180,98,122,"2,041"
39,AJAX FIORI ENGINEERING PVT LTD,21,12,14,9,2,9,8,9,17,13,7,4,125
40,"AJAY AGRO ENTERPRISES,SBP",4,8,15,15,0,1,5,1,11,5,8,3,76
41,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,7,4,8,6,0,2,3,2,10,2,1,1,46
42,AJAY ENTERPRISES,0,0,3,3,0,12,1,2,7,0,4,0,32
43,AKASH AGRO INDUSTRIES,3,14,1,1,1,0,1,1,2,0,0,0,24
44,AKASH KRISHI YANTRA,0,0,1,0,0,0,0,0,0,0,0,0,1
45,AKASH TRAILOR,24,96,57,45,2,7,14,8,8,6,3,3,273
46,A K AUTTO ELECTRICAL,0,0,2,0,0,0,2,0,1,0,0,0,5
47,A K GUPTA & CO.,9,7,13,5,0,7,21,24,33,39,48,50,256
